lat,long,max_temp,humidity,clouds,wind,country,date
-45.8742,170.5036,28.537,87,97,3.58,NZ,1620448261
14.3521,3.3168,30.163,40,100,4.63,NE,1620448262
-14.97,22.6814,28.697000000000003,54,22,2.53,ZM,1620448262
63.05,179.3167,27.267000000000003,85,99,3.7,RU,1620448263
6.8774,-6.4502,29.506999999999998,96,90,1.11,CI,1620448263
12.524,-70.027,30.014999999999997,78,20,8.23,AW,1620447982
37.7782,-81.1882,28.115,61,90,3.6,US,1620448264
-38.9516,-68.0591,28.615,76,0,1.03,AR,1620448264
54.7682,-101.865,27.386000000000003,78,6,4.0,CA,1620448264
53.125,48.8531,28.839999999999996,59,94,2.88,RU,1620448265
1.2897,103.8501,30.415,66,75,2.06,SG,1620447691
25.2088,64.6357,30.225,75,96,6.18,PK,1620448265
-35.1,173.7833,29.258999999999997,83,100,4.02,NZ,1620448265
2.3,111.8167,30.514999999999997,62,40,1.54,MY,1620448266
17.3333,104.4167,30.714999999999996,59,75,1.03,TH,1620448266
0.8,127.4,30.157999999999998,75,100,3.1,ID,1620448266
50.6789,156.125,27.919999999999998,80,39,4.22,RU,1620448267
6.5167,14.3,29.070999999999998,98,100,1.04,CM,1620448267
43.5064,123.5064,28.082,73,97,11.57,CN,1620448267
